attack,steps,epsilon,mean,std,min,max
fgsm,,0.0,98.55999999999999,0.37302814907189014,97.96,98.97
fgsm,,0.05,96.532,0.9725841865874665,94.85,97.33
fgsm,,0.1,92.902,1.848126077950309,89.67,94.07
fgsm,,0.15,86.706,3.2697905131674765,80.94,88.79
fgsm,,0.2,78.00800000000001,5.138124171329457,68.91,81.45
fgsm,,0.25,67.588,6.6565321301710885,55.83,72.19
fgsm,,0.3,57.354,6.859903789412792,45.59,62.9
pgd,5.0,0.0,98.55999999999999,0.37302814907189014,97.96,98.97
pgd,5.0,0.05,96.05199999999999,1.1272621700385401,94.08,96.86
pgd,5.0,0.1,94.85799999999999,1.453640258110651,92.31,95.75
pgd,5.0,0.15,94.018,1.6406462141485556,91.15,95.02
pgd,5.0,0.2,93.208,1.9126081668757997,89.83,94.31
pgd,5.0,0.25,92.262,2.211825038288519,88.35,93.67
pgd,5.0,0.3,91.252,2.6032230023568834,86.64,92.89
pgd,10.0,0.0,98.55999999999999,0.37302814907189014,97.96,98.97
pgd,10.0,0.05,95.988,1.1497043098118715,93.98,96.83
pgd,10.0,0.1,90.2,2.584540578129892,85.73,92.0
pgd,10.0,0.15,86.732,3.119482328848812,81.3,88.78
pgd,10.0,0.2,83.494,3.6698065344102284,77.1,86.44
pgd,10.0,0.25,80.352,4.353512375082905,72.8,84.08
pgd,10.0,0.3,77.05199999999999,4.881303104704725,68.67,81.2
pgd,20.0,0.0,98.55999999999999,0.37302814907189014,97.96,98.97
pgd,20.0,0.05,95.96000000000001,1.159827573391836,93.93,96.78
pgd,20.0,0.1,90.034,2.601265076842419,85.54,91.85
pgd,20.0,0.15,77.718,4.39144281529431,70.14,81.08
pgd,20.0,0.2,58.455999999999996,5.656432621361275,49.24,63.75
pgd,20.0,0.25,48.856,5.51643725605576,40.58,54.37
pgd,20.0,0.3,40.584,5.443994856720569,33.18,45.84
pgd,40.0,0.0,98.55999999999999,0.37302814907189014,97.96,98.97
pgd,40.0,0.05,95.94,1.1548809462451104,93.92,96.76
pgd,40.0,0.1,89.944,2.608108510012574,85.44,91.8
pgd,40.0,0.15,77.444,4.436206712947446,69.8,80.77
pgd,40.0,0.2,57.86800000000001,5.625528419624241,48.75,63.17
pgd,40.0,0.25,35.194,5.124580958478461,28.59,40.02
pgd,40.0,0.3,16.034,3.765299456882547,11.95,20.23
