attack,steps,epsilon,mean,std,count
pgd,5.0,0.0,98.55999999999999,0.37302814907189014,5
pgd,5.0,0.05,96.05199999999999,1.1272621700385401,5
pgd,5.0,0.1,94.85799999999999,1.453640258110651,5
pgd,5.0,0.15,94.018,1.6406462141485556,5
pgd,5.0,0.2,93.208,1.9126081668757997,5
pgd,5.0,0.25,92.262,2.211825038288519,5
pgd,5.0,0.3,91.252,2.6032230023568834,5
pgd,10.0,0.0,98.55999999999999,0.37302814907189014,5
pgd,10.0,0.05,95.988,1.1497043098118715,5
pgd,10.0,0.1,90.2,2.584540578129892,5
pgd,10.0,0.15,86.732,3.119482328848812,5
pgd,10.0,0.2,83.494,3.6698065344102284,5
pgd,10.0,0.25,80.352,4.353512375082905,5
pgd,10.0,0.3,77.05199999999999,4.881303104704725,5
pgd,20.0,0.0,98.55999999999999,0.37302814907189014,5
pgd,20.0,0.05,95.96000000000001,1.159827573391836,5
pgd,20.0,0.1,90.034,2.601265076842419,5
pgd,20.0,0.15,77.718,4.39144281529431,5
pgd,20.0,0.2,58.455999999999996,5.656432621361275,5
pgd,20.0,0.25,48.856,5.51643725605576,5
pgd,20.0,0.3,40.584,5.443994856720569,5
pgd,40.0,0.0,98.55999999999999,0.37302814907189014,5
pgd,40.0,0.05,95.94,1.1548809462451104,5
pgd,40.0,0.1,89.944,2.608108510012574,5
pgd,40.0,0.15,77.444,4.436206712947446,5
pgd,40.0,0.2,57.86800000000001,5.625528419624241,5
pgd,40.0,0.25,35.194,5.124580958478461,5
pgd,40.0,0.3,16.034,3.765299456882547,5
